  1602
    id          xc          yc          zc         gxc         gyc         gzc         vol                 R  mean_overdensity       ellipticity      inv_porosity
   206   -415.8012   -113.4025    194.5961   -417.5029   -138.4993    221.4200   292857.78           41.1961            0.1822          0.441941          0.647911
   207   -175.0023    648.1942   -200.2021   -174.8399    638.2994   -205.6295   239032.19           38.4996            0.2063          0.513871          0.521336
   208    214.1960    289.7957   -113.4025    227.9918    283.2762   -107.6905   205489.97           36.6073            0.2419          0.327764          0.553983
   209   -147.0024     -4.2030    197.3961   -149.9044     -7.7464    194.9230   192472.61           35.8174            0.2377          0.491738          0.658702
   210    270.1958    323.3956      1.3970    280.6293    314.3174     -1.9311   104929.18           29.2597            0.2696          0.408266          0.567023
   211    471.7949   -261.8019   -130.2025    467.1159   -266.1075   -128.5154    86467.79           27.4319            0.2721          0.449716          0.597069
   212   -637.0002    141.3964    242.1959   -647.7220    137.6560    247.7002   188148.12           35.5471            0.2567          0.531419          0.516483
   213   -315.0016    384.9953     -4.2030   -299.0171    387.6578     -3.9444   361544.69           44.1934            0.1685          0.335254          0.648448
   214   -172.2023   -175.0023   -116.2025   -175.5116   -164.6586   -133.1614   323436.53           42.5827            0.2166          0.378116          0.533100
   215   -525.0007   -130.2025     54.5967   -514.9383   -117.6661     43.4386   191045.75           35.7286            0.2232          0.561566          0.513314
   216     32.1968    365.3954    163.7963     31.7609    366.4503    153.4506    69850.34           25.5482            0.2995          0.435879          0.576772
   217   -113.4025   -583.8005   -152.6024   -121.8333   -578.6950   -148.2024   104424.29           29.2127            0.2257          0.315717          0.645818
   218    104.9965   -474.6010   -175.0023    111.0124   -477.9366   -163.4724    94567.98           28.2630            0.2791          0.360132          0.675807
   219   -147.0024   -379.4014     12.5969   -147.4253   -372.7656     17.9445    92680.12           28.0737            0.2473          0.422503          0.462850
   220    457.7950    -68.6027   -113.4025    453.8396    -57.0744   -110.3612   116431.88           30.2920            0.2750          0.501496          0.600574
   221   -642.6002   -592.2004     79.7966   -639.7961   -603.3087     62.8888   296677.38           41.3744            0.2742          0.483611          0.541619
   222    418.5952    608.9943    -57.4028    427.9283    607.1345    -55.8637   157349.88           33.4908            0.2167          0.319374          0.559151
